OID_,Join_Count,TARGET_FID,FID_1,STATEFP10,PLACEFP10,PLACENS10,GEOID10,NAME10,NAMELSAD10,STATEFP,COUNTYFP,COUNTYNS,GEOID,COUNTY_NAME
464,1,463,464,06,83948,02409540,0683948,Weldon,Weldon CDP,06,029,02054176,06029,Kern
465,1,464,465,06,30798,02410651,0630798,Grass Valley,Grass Valley city,06,057,01682927,06057,Nevada
466,1,465,466,06,07512,02628712,0607512,Boonville,Boonville CDP,06,045,00277287,06045,Mendocino
467,1,466,467,06,86174,02409619,0686174,Wofford Heights,Wofford Heights CDP,06,029,02054176,06029,Kern
468,1,467,468,06,80238,02412090,0680238,Tracy,Tracy city,06,077,00277303,06077,San Joaquin
469,1,468,469,06,30987,02628815,0630987,Greenfield,Greenfield CDP,06,029,02054176,06029,Kern
470,1,469,470,06,56868,02628777,0656868,Philo,Philo CDP,06,045,00277287,06045,Mendocino
471,1,470,471,06,30938,02628814,0630938,Greenacres,Greenacres CDP,06,029,02054176,06029,Kern
472,1,471,472,06,75000,02411987,0675000,Stockton,Stockton city,06,077,00277303,06077,San Joaquin
473,1,472,473,06,45386,02628754,0645386,Manchester,Manchester CDP,06,045,00277287,06045,Mendocino
474,1,473,474,06,61026,02410957,0661026,Ripon,Ripon city,06,077,00277303,06077,San Joaquin
475,1,474,475,06,02028,02628706,0602028,Anchor Bay,Anchor Bay CDP,06,045,00277287,06045,Mendocino
476,1,475,476,06,45484,02411024,0645484,Manteca,Manteca city,06,077,00277303,06077,San Joaquin
477,1,476,477,06,42202,02410854,0642202,Lodi,Lodi city,06,077,00277303,06077,San Joaquin
478,1,477,478,06,34652,02628739,0634652,Hopland,Hopland CDP,06,045,00277287,06045,Mendocino
479,1,478,479,06,40704,02411633,0640704,Lathrop,Lathrop city,06,077,00277303,06077,San Joaquin
480,1,479,480,06,58506,02628779,0658506,Potter Valley,Potter Valley CDP,06,045,00277287,06045,Mendocino
481,1,480,481,06,08530,02628713,0608530,Brooktrails,Brooktrails CDP,06,045,00277287,06045,Mendocino
482,1,481,482,06,22790,02410453,0622790,Escalon,Escalon city,06,077,00277303,06077,San Joaquin
483,1,482,483,06,87056,02413524,0687056,Yucca Valley,Yucca Valley town,06,071,00277300,06071,San Bernardino
484,1,483,484,06,00716,02628703,0600716,Albion,Albion CDP,06,045,00277287,06045,Mendocino
485,1,484,485,06,02553,02407756,0602553,Arden-Arcade,Arden-Arcade CDP,06,067,00277298,06067,Sacramento
486,1,485,486,06,87042,02412326,0687042,Yucaipa,Yucaipa city,06,071,00277300,06071,San Bernardino
487,1,486,487,06,82590,02412156,0682590,Victorville,Victorville city,06,071,00277300,06071,San Bernardino
488,1,487,488,06,41866,02628752,0641866,Little River,Little River CDP,06,045,00277287,06045,Mendocino
489,1,488,489,06,11768,02628717,0611768,Caspar,Caspar CDP,06,045,00277287,06045,Mendocino
490,1,489,490,06,81344,02412137,0681344,Upland,Upland city,06,071,00277300,06071,San Bernardino
491,1,490,491,06,80994,02412119,0680994,Twentynine Palms,Twentynine Palms city,06,071,00277300,06071,San Bernardino
492,1,491,492,06,65000,02411777,0665000,San Bernardino,San Bernardino city,06,071,00277300,06071,San Bernardino
493,1,492,493,06,60214,02628782,0660214,Redwood Valley,Redwood Valley CDP,06,045,00277287,06045,Mendocino
494,1,493,494,06,60466,02410931,0660466,Rialto,Rialto city,06,071,00277300,06071,San Bernardino
495,1,494,495,06,59962,02411532,0659962,Redlands,Redlands city,06,071,00277300,06071,San Bernardino
496,1,495,496,06,59451,02411514,0659451,Rancho Cucamonga,Rancho Cucamonga city,06,071,00277300,06071,San Bernardino
497,1,496,497,06,09990,02628714,0609990,Calpella,Calpella CDP,06,045,00277287,06045,Mendocino
498,1,497,498,06,53896,02411323,0653896,Ontario,Ontario city,06,071,00277300,06071,San Bernardino
499,1,498,499,06,15030,02628722,0615030,Comptche,Comptche CDP,06,045,00277287,06045,Mendocino
500,1,499,500,06,50734,02411220,0650734,Needles,Needles city,06,071,00277300,06071,San Bernardino
501,1,500,501,06,48788,02411141,0648788,Montclair,Montclair city,06,071,00277300,06071,San Bernardino
502,1,501,502,06,11390,02407967,0611390,Carmichael,Carmichael CDP,06,067,00277298,06067,Sacramento
503,1,502,503,06,42370,02410857,0642370,Loma Linda,Loma Linda city,06,071,00277300,06071,San Bernardino
504,1,503,504,06,33588,02410759,0633588,Highland,Highland city,06,071,00277300,06071,San Bernardino
505,1,504,505,06,33434,02410751,0633434,Hesperia,Hesperia city,06,071,00277300,06071,San Bernardino
506,1,505,506,06,14260,02409493,0614260,Coachella,Coachella city,06,065,00277297,06065,Riverside
507,1,506,507,06,30658,02410634,0630658,Grand Terrace,Grand Terrace city,06,071,00277300,06071,San Bernardino
508,1,507,508,06,23294,02408100,0623294,Fair Oaks,Fair Oaks CDP,06,067,00277298,06067,Sacramento
509,1,508,509,06,24680,02410517,0624680,Fontana,Fontana city,06,071,00277300,06071,San Bernardino
510,1,509,510,06,12048,02409412,0612048,Cathedral City,Cathedral City city,06,065,00277297,06065,Riverside
511,1,510,511,06,14890,02410200,0614890,Colton,Colton city,06,071,00277300,06071,San Bernardino
512,1,511,512,06,10928,02409979,0610928,Canyon Lake,Canyon Lake city,06,065,00277297,06065,Riverside
513,1,512,513,06,24498,02408219,0624498,Florin,Florin CDP,06,067,00277298,06067,Sacramento
514,1,513,514,06,13214,02409454,0613214,Chino Hills,Chino Hills city,06,071,00277300,06071,San Bernardino
515,1,514,515,06,09864,02409961,0609864,Calimesa,Calimesa city,06,065,00277297,06065,Riverside
516,1,515,516,06,13210,02409453,0613210,Chino,Chino city,06,071,00277300,06071,San Bernardino
517,1,516,517,06,06434,02409843,0606434,Big Bear Lake,Big Bear Lake city,06,071,00277300,06071,San Bernardino
518,1,517,518,06,24722,02408224,0624722,Foothill Farms,Foothill Farms CDP,06,067,00277298,06067,Sacramento
519,1,518,519,06,04030,02409790,0604030,Barstow,Barstow city,06,071,00277300,06071,San Bernardino
520,1,519,520,06,07218,02409872,0607218,Blythe,Blythe city,06,065,00277297,06065,Riverside
521,1,520,521,06,30345,02408305,0630345,Gold River,Gold River CDP,06,067,00277298,06067,Sacramento
522,1,521,522,06,02364,02412372,0602364,Apple Valley,Apple Valley town,06,071,00277300,06071,San Bernardino
523,1,522,523,06,00296,02409663,0600296,Adelanto,Adelanto city,06,071,00277300,06071,San Bernardino
524,1,523,524,06,04758,02409805,0604758,Beaumont,Beaumont city,06,065,00277297,06065,Riverside
525,1,524,525,06,40410,02408515,0640410,La Riviera,La Riviera CDP,06,067,00277298,06067,Sacramento
526,1,525,526,06,86972,02412325,0686972,Yuba City,Yuba City city,06,101,00277315,06101,Sutter
527,1,526,527,06,51924,02408941,0651924,North Highlands,North Highlands CDP,06,067,00277298,06067,Sacramento
528,1,527,528,06,41936,02410846,0641936,Live Oak,Live Oak city,06,101,00277315,06101,Sutter
529,1,528,529,06,03820,02409785,0603820,Banning,Banning city,06,065,00277297,06065,Riverside
530,1,529,530,06,46842,02497157,0646842,Menifee,Menifee city,06,065,00277297,06065,Riverside
531,1,530,531,06,85446,02497148,0685446,Wildomar,Wildomar city,06,065,00277297,06065,Riverside
532,1,531,532,06,54092,02408995,0654092,Orangevale,Orangevale CDP,06,067,00277298,06067,Sacramento
533,1,532,533,06,78120,02412044,0678120,Temecula,Temecula city,06,065,00277297,06065,Riverside
534,1,533,534,06,83346,02412174,0683346,Walnut Creek,Walnut Creek city,06,013,01675903,06013,Contra Costa
535,1,534,535,06,67112,02411788,0667112,San Jacinto,San Jacinto city,06,065,00277297,06065,Riverside
