ID,NAME,STATE_NAME,ST_ABBREV,TOTPOP_CY,POPDENS_CY,TOTHH_CY,TOTHU_CY,OWNER_CY,RENTER_CY,POPGRW10CY,HAI_CY,INCMORT_CY,TSPOP10_CY,TSHH10_CY,TSHU10_CY,MINORITYCY,DIVINDX_CY,MEDHINC_CY,PCI_CY,MEDVAL_CY,AVGVAL_CY,TOTPOP_FY,POPDENS_FY,TOTHH_FY,TOTHU_FY,POPGRWCYFY,POPGRW0010,AnnPopChange2010_2020,PercPopChange2010_2020,AnnHUChange2010_2020,PercHUChange2010_2020,AnnHHChange2010_2020,PercHHChange2010_2020,WHPWeightedPop,MIN_,MAX_,RANGE,MEAN,STD,SUM_,VARIETY,MAJORITY,MINORITY,MEDIAN,Shape__Area,Shape__Length
06095,Solano County,California,CA,445432,542.0,153332,161786,97961,55371,0.73,112,20.8,413468,141796,152764,282443,83.3,86010,37763,428738,477552,461384,561.5,158920,167504,0.71,0.47,0.7474241180686292,20.92377785342096,0.5754516727534797,5.90584169045063,0.7852278715979155,8.135631470563345,1.0504333230766816,0,5,5,1.1795061065628776,1.2831517459874835,35154.0,6,0,5,1,2172799084.9387207,329662.39052016486
06097,Sonoma County,California,CA,492485,312.5,187233,206362,116182,71051,0.17,77,31.3,484047,185892,204652,186707,67.1,83165,42408,622802,717396,496946,315.4,188462,209356,0.18,0.54,0.17296935827415538,4.123096769149581,0.08324395313015209,0.8355647635986945,0.07190554611871125,0.7213866115809179,2.0775690246035565,0,5,5,3.093020372010629,1.5917888841383676,174601.0,6,3,1,3,4117395674.145508,375047.02293590753
06099,Stanislaus County,California,CA,549370,367.5,175240,186003,104664,70576,0.64,111,21.4,514843,165306,179612,331896,81.0,60160,26299,307975,380583,566297,378.8,180308,191720,0.61,1.42,0.6512129037434811,19.22310313342093,0.3502502861773227,3.5582255083179297,0.5852877661742806,6.009461241576228,0.7814634621655936,0,5,5,2.199966526574181,1.5952002892668369,118301.0,6,3,4,2,3919696772.1416016,371974.65399828926
06101,Sutter County,California,CA,97881,162.5,32422,34675,19967,12455,0.32,105,22.0,94868,31478,33904,54834,80.9,60113,26600,315893,398947,99542,165.2,32922,35650,0.34,1.84,0.3131493254050044,8.886857008022652,0.225112645648462,2.274067956583294,0.29592013767334446,2.998919880551496,1.0077309039986322,0,5,5,0.9541123138125636,1.2091120915473812,20626.0,6,0,5,0,1576324896.9038086,267800.97623575974
06103,Tehama County,California,CA,65713,22.3,24449,27858,15617,8832,0.34,112,21.5,63479,23771,27001,22116,62.8,44079,23536,226748,292539,66471,22.5,24681,28515,0.23,1.25,0.3464751671589106,8.273767638235622,0.3129514328243266,3.1739565201288844,0.2816254712065147,2.852214883681797,2.584286983793972,0,5,5,3.4440231490720414,1.141881567363611,362418.0,6,3,1,3,7672146227.05127,464839.1579452711
06105,Trinity County,California,CA,13706,4.3,6071,8951,3724,2347,-0.06,76,32.9,13813,6094,8700,2588,37.8,39690,25023,312871,355988,13334,4.2,5909,9115,-0.55,0.57,-0.07773461652225144,-1.2298850574712643,0.28482718631994697,2.8850574712643677,-0.037806295770459464,-0.3774204135214966,3.6795536626279994,0,5,5,3.803210807965611,1.2939886957928823,433528.0,6,5,1,4,8308744483.876465,597185.7353684257
06107,Tulare County,California,CA,474490,98.4,139150,151433,81662,57488,0.69,121,19.6,442842,130560,141941,346955,82.0,50253,21140,235315,312745,488388,101.2,143032,157172,0.58,1.85,0.6926628460278028,22.296588018965625,0.649417677287234,6.687285562311102,0.6392303798352872,6.579350490196079,1.3267590540338883,0,5,5,2.347482822217956,1.7051314358086476,403483.0,6,0,1,3,12530355954.643555,514579.0721543276
06109,Tuolumne County,California,CA,56087,25.3,22930,32009,15774,7156,0.13,98,24.2,55333,22143,31246,11911,43.9,54683,31610,316381,374873,56525,25.5,23143,32525,0.16,0.16,0.13543744423984982,2.413108877936376,0.2415487126405269,2.4419125648082955,0.3498573512841885,3.554170618254076,3.6920623016140857,0,5,5,2.9838639822800785,1.712421269444973,241135.0,6,4,1,3,5891703345.023193,482958.6361461477
06111,Ventura County,California,CA,857801,465.4,275333,290889,173573,101760,0.4,80,29.7,823303,266928,281774,481238,77.8,86984,37431,617636,699198,873718,474.0,279675,297684,0.37,0.89,0.41132201331468554,12.243145215669294,0.31887151618117393,3.234861981588081,0.3105042196340335,3.148789186597135,1.4987717095312878,0,5,5,3.3583083128620386,1.6227582834786187,221467.0,6,4,1,4,4808406726.100098,406061.5160221638
06113,Yolo County,California,CA,220785,217.6,76414,79713,35929,40485,0.93,79,29.4,201119,70975,75184,121141,78.9,69593,34482,490094,563497,229084,225.8,79273,82973,0.74,1.76,0.9372913659376314,26.15716109810598,0.5866565467863794,6.023888061289636,0.7411149945268924,7.663261711870377,0.2735187206359676,0,5,5,1.302817676517528,1.5391582359288754,47347.0,6,0,5,1,2650484031.4804688,320588.5644140807
06115,Yuba County,California,CA,79831,126.3,26775,29477,15277,11498,0.99,104,22.3,72240,24339,27663,37507,75.4,50349,22765,269126,323494,82895,131.2,27763,30620,0.76,1.82,1.0041883806766627,27.440986154791595,0.6371665042806063,6.557495571702273,0.9584501366185272,10.008628127696289,1.7588929130309177,0,5,5,2.9691500983176753,1.7772162796306827,67949.0,6,4,1,3,1668283244.2924805,276343.67584066495
